Team,Sprint,Target Velocity,Committed SP,Delivered SP,Inflation correction,Normalized Target Velocity,Normalized Planned SP,Normalized Delivered SP,Normalized Inflation SP,Productivity,Predictability,Moving Average (2),Moving Average (3),Notes
Design Systems,Design S25.08,24.5,53,18,-4,57.6,124.6,42.3,-9.4,57%,34%,,,2 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.09,24.5,39,27,-4,57.6,91.7,63.5,-9.4,94%,69%,52.9,,2 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.10,24.5,40,20,-6,57.6,94.0,47.0,-14.1,57%,50%,55.2,50.9,3 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.11,24.5,40.5,25.5,-2,57.6,95.2,60.0,-4.7,96%,63%,53.5,56.8,1 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.12,24.5,31.5,36,-4,57.6,74.1,84.6,-9.4,131%,114%,72.3,63.9,2 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.13,24.5,56.5,31,-6,57.6,132.8,72.9,-14.1,102%,55%,78.8,72.5,3 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.14,24.5,47.5,38.5,-2,57.6,111.7,90.5,-4.7,149%,81%,81.7,82.7,1 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.15,24.5,34,34,-4,57.6,79.9,79.9,-9.4,122%,100%,85.2,81.1,2 MFE migrate components stories increased from 3 to 5 SP
Design Systems,Design S25.16,24.5,29,20,,57.6,68.2,47.0,0.0,82%,69%,63.5,72.5,
Design Systems,Design S25.17,24.5,30,25,,57.6,70.5,58.8,0.0,102%,83%,52.9,61.9,
Design Systems,Design S25.18,24.5,21,11,,57.6,49.4,25.9,0.0,45%,52%,42.3,43.9,2.5 FTE on Holiday
Design Systems,Design S25.19,24.5,18,12,,57.6,42.3,28.2,0.0,49%,67%,27.0,37.6,
Design Systems,Design S25.20,57.6,19,25,,57.6,19.0,25.0,0.0,43%,132%,26.6,26.4,"More dev stories delivered that didn't need UI work, UI delivery still to be monitored over the next sprints"
Design Systems,Design S25.21,57.6,59,40,,57.6,59.0,40.0,0.0,69%,68%,32.5,31.1,
