Team,Sprint,Target Velocity,Committed SP,Delivered SP,Inflation correction,Normalized Target Velocity,Normalized Planned SP,Normalized Delivered SP,Normalized Inflation SP,Productivity,Predictability,Moving Average (2),Moving Average (3),Notes,,
sales1,S25.08,28,3,0,0,28,3.0,0.0,0.0,0%,0%,,,,,
sales1,S25.09,28,24,16,0,28,24.0,16.0,0.0,57%,67%,8.0,,,,
sales1,S25.10,28,30,22,0,28,30.0,22.0,0.0,79%,73%,19.0,12.7,,,
sales1,S25.11,28,27,9,0,28,27.0,9.0,0.0,32%,33%,15.5,15.7,,,
sales1,S25.12,28,30,23,0,28,30.0,23.0,0.0,82%,77%,16.0,18.0,,,
sales1,S25.13,28,29,11,0,28,29.0,11.0,0.0,39%,38%,17.0,14.3,"test-only stories make the amount of SP delivered higher (also last year), they are taken into account for the calculation because this practice continues",,
sales1,S25.14,28,36,22,0,28,36.0,22.0,0.0,79%,61%,16.5,18.7,high reliability on Joris to finish stories (might improve with Joost coming back),,
sales1,S25.15,28,38,39,0,28,38.0,39.0,0.0,139%,103%,30.5,24.0,moving stories?,,
sales1,S25.16,28,22,17,0,28,22.0,17.0,0.0,61%,77%,28.0,26.0,,,
sales1,S25.17,28,38,28,0,28,38.0,28.0,0.0,100%,74%,22.5,28.0,,,
sales1,S25.18,28,33,27,0,28,33.0,27.0,0.0,96%,82%,27.5,24.0,,,
sales1,S25.19,28,24,25,0,28,24.0,25.0,0.0,89%,104%,26.0,26.7,,,
sales1,S25.20,28,31,26,0,28,31.0,26.0,0.0,93%,84%,25.5,26.0,,,
sales1,S25.21,28,29,23,0,28,29.0,23.0,0.0,82%,79%,24.5,24.7,,,
